id,nom,departement,ville,cp,type,no2_2017,pm10_2017,pm25_2017,geometry,nb_equipements_ville
0750026W,L'Enseignement par petits groupes (Ecole secondaire privée),75,Paris 15,75015,secondaire,37.345489311218266,21.78288936355787,13.549347350597383,"c(2.2908106734441, 48.8421565600018)",197
0750106H,Ecole technologique privée CCIP Centre des Formations Industrielles,75,Paris 20,75020,secondaire,43.208738183975214,23.02060820066938,14.42964349448681,"c(2.40580700033425, 48.8756657433978)",197
0750132L,Ecole primaire privée Notre-Dame-Saint Roch,75,Paris 01,75001,primaire,37.65565361976624,20.867075388397147,12.56147220209241,"c(2.33270615799049, 48.8661396641722)",14
0750136R,Ecole primaire privée Saint-Sauveur,75,Paris 02,75002,primaire,42.77200256407261,22.650735470424088,15.11874021410942,"c(2.34734689771536, 48.8668886093452)",26
0750138T,Ecole primaire privée Sainte Geneviève du Marais,75,Paris 03,75003,primaire,37.10720726966858,20.717201251280898,12.654442788362502,"c(2.36480092620121, 48.8569700986785)",41
0750141W,Ecole primaire privée Massillon,75,Paris 04,75004,primaire,36.909304797649376,20.70943606426244,12.648756046593189,"c(2.36311683714412, 48.8520228061988)",42
0750142X,Ecole primaire privée Saint Jean Gabriel,75,Paris 04,75004,primaire,56.46339307546616,28.72196162929481,14.56712307661772,"c(2.35172741928641, 48.8589568008713)",42
0750145A,Ecole élémentaire privée Les Francs Bourgeois,75,Paris 04,75004,primaire,53.00400213718415,26.611553027304023,16.984437627792357,"c(2.36578441706958, 48.8535442911912)",42
0750148D,Ecole primaire privée Sinaï,75,Paris 18,75018,primaire,36.8137561571598,20.50715500033222,12.508992392420769,"c(2.36600164488975, 48.8944948956878)",172
0750149E,Ecole primaire privée Sainte Catherine,75,Paris 05,75005,primaire,36.76014114618302,20.707205120677354,12.647195068001746,"c(2.3508215170127, 48.8502758324516)",64
0750150F,Ecole primaire privée Sainte Geneviève,75,Paris 05,75005,primaire,36.23813299298287,20.604445548839024,12.573581624403596,"c(2.3506434893413, 48.8458617156269)",64
0750151G,Ecole primaire privée Soeur Rosalie Louise de Marillac,75,Paris 05,75005,primaire,40.60807971954346,22.36261985275663,13.94319778084755,"c(2.35623153284056, 48.8408024289818)",64
0750153J,Ecole primaire privée Saint Victor,75,Paris 05,75005,primaire,39.60008019208908,21.84062425472797,13.49918066263199,"c(2.35355483660239, 48.8470115743346)",64
0750154K,Ecole élémentaire privée Sévigné,75,Paris 05,75005,primaire,35.534274919331075,20.509806949972607,12.505391658353618,"c(2.33938049535103, 48.8407555246058)",64
0750161T,Ecole primaire privée Sainte Geneviève,75,Paris 06,75006,primaire,39.269264221191406,21.874683328955705,13.459856748580933,"c(2.33137094757027, 48.8457987255781)",53
0750164W,Ecole primaire privée Bossuet,75,Paris 06,75006,primaire,48.53756356239319,25.3390993094485,17.247443050146103,"c(2.3317005609002, 48.8480417747527)",53
0750167Z,Ecole primaire privée Stanislas,75,Paris 06,75006,primaire,35.313203376340674,20.441905496249262,12.468854486942291,"c(2.32743548428265, 48.8444357160638)",53
